"method","f","Tt","replica","rmse_lambda1"
"stan","linear",800,6,0.397891654624725
"montoril","quadratic",800,6,0.385356890747438
"pg_apf","quadratic",800,6,0.392457065461637
"sir_laplace","quadratic",800,6,0.393679529768495
"sir_collapsed","quadratic",800,6,0.393810750324357
"stan","quadratic",800,6,0.39417485563829
"montoril","sinusoidal",800,6,0.397665763809392
"pg_apf","sinusoidal",800,6,0.393817607244432
"sir_laplace","sinusoidal",800,6,0.395138713332432
"sir_collapsed","sinusoidal",800,6,0.39836770659235
"stan","sinusoidal",800,6,0.393724810979828
"montoril","constant",1600,6,0.449387220481077
"pg_apf","constant",1600,6,0.446278778265442
"sir_laplace","constant",1600,6,0.448952008792572
"sir_collapsed","constant",1600,6,0.45110832057997
"stan","constant",1600,6,0.447205055825364
"montoril","linear",1600,6,0.300531474654471
"pg_apf","linear",1600,6,0.304044964996368
"sir_laplace","linear",1600,6,0.30820053011916
"sir_collapsed","linear",1600,6,0.309780152090124
"stan","linear",1600,6,0.306970297931506
"montoril","quadratic",1600,6,0.295141791417599
"pg_apf","quadratic",1600,6,0.289933620120237
"sir_laplace","quadratic",1600,6,0.293055532613426
"sir_collapsed","quadratic",1600,6,0.295634952480614
"stan","quadratic",1600,6,0.293224506649215
"montoril","sinusoidal",1600,6,0.310810168405441
"pg_apf","sinusoidal",1600,6,0.302612731765372
"sir_laplace","sinusoidal",1600,6,0.306578310709066
"sir_collapsed","sinusoidal",1600,6,0.309463200522114
"stan","sinusoidal",1600,6,0.305791300364543
"montoril","constant",200,7,0.807800592961165
"pg_apf","constant",200,7,0.813764346344473
"sir_laplace","constant",200,7,0.811081565093521
"sir_collapsed","constant",200,7,0.820077819250182
"stan","constant",200,7,0.811438522528065
"montoril","linear",200,7,0.411901476311836
"pg_apf","linear",200,7,0.406252202976297
"sir_laplace","linear",200,7,0.409327971225757
"sir_collapsed","linear",200,7,0.410293459112736
"stan","linear",200,7,0.407830756362276
"montoril","quadratic",200,7,0.421732577639722
"pg_apf","quadratic",200,7,0.407406815706737
"sir_laplace","quadratic",200,7,0.407682676422411
"sir_collapsed","quadratic",200,7,0.406424924613562
"stan","quadratic",200,7,0.407358151169745
"montoril","sinusoidal",200,7,0.465739711541343
"pg_apf","sinusoidal",200,7,0.457714790247404
"sir_laplace","sinusoidal",200,7,0.468199681054338
"sir_collapsed","sinusoidal",200,7,0.473267212226414
"stan","sinusoidal",200,7,0.45604511976434
"montoril","constant",400,7,0.691415701571689
"pg_apf","constant",400,7,0.698471893145791
"sir_laplace","constant",400,7,0.694933718206745
"sir_collapsed","constant",400,7,0.693874251596501
"stan","constant",400,7,0.699948862668866
"montoril","linear",400,7,0.401533732840967
"pg_apf","linear",400,7,0.396846942684028
"sir_laplace","linear",400,7,0.39597244161635
"sir_collapsed","linear",400,7,0.399300033323462
"stan","linear",400,7,0.393714563803606
"montoril","quadratic",400,7,0.397657888114616
"pg_apf","quadratic",400,7,0.394838992670094
"sir_laplace","quadratic",400,7,0.393262904781246
"sir_collapsed","quadratic",400,7,0.397395542833719
"stan","quadratic",400,7,0.394591247165736
"montoril","sinusoidal",400,7,0.437621417417325
"pg_apf","sinusoidal",400,7,0.416831713910528
"sir_laplace","sinusoidal",400,7,0.417993076133648
"sir_collapsed","sinusoidal",400,7,0.423488890734522
"stan","sinusoidal",400,7,0.418127768016949
"montoril","constant",800,7,0.485672985667754
"pg_apf","constant",800,7,0.488189209199348
"sir_laplace","constant",800,7,0.482146319819432
"sir_collapsed","constant",800,7,0.477523599363195
"stan","constant",800,7,0.485892112207479
"montoril","linear",800,7,0.31896458395477
"pg_apf","linear",800,7,0.326818355541219
"sir_laplace","linear",800,7,0.324765484768541
"sir_collapsed","linear",800,7,0.318897721995846
"stan","linear",800,7,0.32991553913611
"montoril","quadratic",800,7,0.347840148892233
"pg_apf","quadratic",800,7,0.331710600300039
"sir_laplace","quadratic",800,7,0.329598362799561
"sir_collapsed","quadratic",800,7,0.323063944867812
"stan","quadratic",800,7,0.334298283874356
"montoril","sinusoidal",800,7,0.347949303173863
"pg_apf","sinusoidal",800,7,0.33842012286547
"sir_laplace","sinusoidal",800,7,0.333457836273244
"sir_collapsed","sinusoidal",800,7,0.330304732449032
"stan","sinusoidal",800,7,0.341938736449388
"montoril","constant",1600,7,0.429454487934926
"pg_apf","constant",1600,7,0.427312324396696
"sir_laplace","constant",1600,7,0.428266187952442
"sir_collapsed","constant",1600,7,0.427377465078947
"stan","constant",1600,7,0.428294198966249
"montoril","linear",1600,7,0.30251329032652
"pg_apf","linear",1600,7,0.295594438082275
"sir_laplace","linear",1600,7,0.299003045914588
"sir_collapsed","linear",1600,7,0.298946210641049
"stan","linear",1600,7,0.299552661312284
"montoril","quadratic",1600,7,0.299325383280232
"pg_apf","quadratic",1600,7,0.296244070801583
